workerName,taskId,ratio,gold
74a2a849348de0d5b2c9660bcaec953a4a50df54,61,0.81,0.74
c47787c70e4055192677d84096a9420f523ed157,61,0.47,0.74
286e03bba69c19b70cfd06826140500611d6647c,61,0.69,0.74
6c281d925013191dba9ccc87e0187b27826fd3b8,61,0.69,0.74
ff945bedc27e7f7a9c3951b81052f87d9ec7cf49,61,0.72,0.74
e8928f6f7dc11e216b60ed0aa637319dcd00ac51,61,0.5,0.74
32647d529e5861f292dd0d87b468dcc8b70f0085,61,0.81,0.74
9b58bf0f65ceb5b86eeac2c7b7a70287b6edf8f5,61,0.64,0.74
c2c871ed7cd5614842c3813c577e338719a53f51,61,0.83,0.74
e68dd2764fdfdbb5f3de472341b2b6777d035862,61,0.67,0.74
dc12ef226a1e5db1ac0ac81a89a4b4713107e51a,61,0.75,0.74
0fda068c2d91fc106bb78a61e5ddecc3e6b331c6,61,0.69,0.74
c7ee3f977325c31e7030e959347cf68adde5e419,61,0.67,0.74
3f899d2038d6cd9a621ba3043551042f2701433b,61,0.81,0.74
287781681acf0d5a99a9b49665a1092ba805bf0c,61,0.67,0.74
dd46326d1fe40a552ecafadedb5203586690a5ec,61,0.56,0.74
6b21eb674590c1c441821d7e70757c0889b90509,61,0.58,0.74
23626fb7af71c55ffda94aa78a8fbefbb31298df,61,0.61,0.74
3ecd8910e4d051efb9b710a20cdb22ceb90772d1,61,0.69,0.74
3a62f9e17eddd43eef8a2a0d61487c1ddff37848,61,0.56,0.74
3ae959d2c2a8008c6ed2d5e9430ea81c51f9b688,61,0.5,0.74
74a2a849348de0d5b2c9660bcaec953a4a50df54,112,0.08,0.08
c47787c70e4055192677d84096a9420f523ed157,112,0.0,0.08
286e03bba69c19b70cfd06826140500611d6647c,112,0.06,0.08
6c281d925013191dba9ccc87e0187b27826fd3b8,112,0.11,0.08
ff945bedc27e7f7a9c3951b81052f87d9ec7cf49,112,0.36,0.08
e8928f6f7dc11e216b60ed0aa637319dcd00ac51,112,0.14,0.08
32647d529e5861f292dd0d87b468dcc8b70f0085,112,0.08,0.08
9b58bf0f65ceb5b86eeac2c7b7a70287b6edf8f5,112,0.19,0.08
c2c871ed7cd5614842c3813c577e338719a53f51,112,0.11,0.08
e68dd2764fdfdbb5f3de472341b2b6777d035862,112,0.22,0.08
dc12ef226a1e5db1ac0ac81a89a4b4713107e51a,112,0.44,0.08
0fda068c2d91fc106bb78a61e5ddecc3e6b331c6,112,0.11,0.08
c7ee3f977325c31e7030e959347cf68adde5e419,112,0.11,0.08
3f899d2038d6cd9a621ba3043551042f2701433b,112,0.31,0.08
287781681acf0d5a99a9b49665a1092ba805bf0c,112,0.14,0.08
dd46326d1fe40a552ecafadedb5203586690a5ec,112,0.5,0.08
6b21eb674590c1c441821d7e70757c0889b90509,112,0.11,0.08
23626fb7af71c55ffda94aa78a8fbefbb31298df,112,0.0,0.08
3ecd8910e4d051efb9b710a20cdb22ceb90772d1,112,0.11,0.08
3a62f9e17eddd43eef8a2a0d61487c1ddff37848,112,0.03,0.08
3ae959d2c2a8008c6ed2d5e9430ea81c51f9b688,112,0.14,0.08
74a2a849348de0d5b2c9660bcaec953a4a50df54,1355,0.0,0.0
c47787c70e4055192677d84096a9420f523ed157,1355,0.06,0.0
286e03bba69c19b70cfd06826140500611d6647c,1355,0.03,0.0
6c281d925013191dba9ccc87e0187b27826fd3b8,1355,0.0,0.0
ff945bedc27e7f7a9c3951b81052f87d9ec7cf49,1355,0.0,0.0
e8928f6f7dc11e216b60ed0aa637319dcd00ac51,1355,0.0,0.0
32647d529e5861f292dd0d87b468dcc8b70f0085,1355,0.0,0.0
9b58bf0f65ceb5b86eeac2c7b7a70287b6edf8f5,1355,0.0,0.0
c2c871ed7cd5614842c3813c577e338719a53f51,1355,0.03,0.0
e68dd2764fdfdbb5f3de472341b2b6777d035862,1355,0.0,0.0
dc12ef226a1e5db1ac0ac81a89a4b4713107e51a,1355,0.0,0.0
0fda068c2d91fc106bb78a61e5ddecc3e6b331c6,1355,0.11,0.0
c7ee3f977325c31e7030e959347cf68adde5e419,1355,0.0,0.0
3f899d2038d6cd9a621ba3043551042f2701433b,1355,0.03,0.0
287781681acf0d5a99a9b49665a1092ba805bf0c,1355,0.06,0.0
dd46326d1fe40a552ecafadedb5203586690a5ec,1355,0.17,0.0
6b21eb674590c1c441821d7e70757c0889b90509,1355,0.0,0.0
23626fb7af71c55ffda94aa78a8fbefbb31298df,1355,0.0,0.0
3ecd8910e4d051efb9b710a20cdb22ceb90772d1,1355,0.11,0.0
3a62f9e17eddd43eef8a2a0d61487c1ddff37848,1355,0.03,0.0
3ae959d2c2a8008c6ed2d5e9430ea81c51f9b688,1355,0.0,0.0
74a2a849348de0d5b2c9660bcaec953a4a50df54,2565,0.5,0.49
c47787c70e4055192677d84096a9420f523ed157,2565,0.81,0.49
286e03bba69c19b70cfd06826140500611d6647c,2565,0.5,0.49
6c281d925013191dba9ccc87e0187b27826fd3b8,2565,0.64,0.49
ff945bedc27e7f7a9c3951b81052f87d9ec7cf49,2565,0.5,0.49
e8928f6f7dc11e216b60ed0aa637319dcd00ac51,2565,0.58,0.49
